,Lemme,Forme_originale,Categorie,Longueur,Frequence
6869,negociation,negociations,Adjectif,11,6
11829,normalement,normalement,Adverbe,11,6
585,construction,construction,Nom,12,6
12998,distribution,distributions,Nom,12,6
13647,theoriquement,theoriquement,Adverbe,13,6
889,departementale,departementales,Adjectif,14,6
191,pays,pays,Nom,4,5
670,cout,coute,Adjectif,4,5
1121,beau,beau,Adjectif,4,5
1977,mars,mars,Nom,4,5
2019,vert,verts,Adjectif,4,5
2382,temp,temps,Adjectif,4,5
5433,nuit,nuits,Nom,4,5
6547,pont,pont,Nom,4,5
11124,bete,bete,Adverbe,4,5
12549,joue,joue,Verbe,4,5
446,regle,regles,Nom,5,5
612,ordre,ordres,Nom,5,5
2260,avril,avril,Nom,5,5
2462,prevu,prevu,Adjectif,5,5
5027,decid,decide,Adjectif,5,5
5355,texte,texte,Nom,5,5
5403,aille,ailles,Nom,5,5
5676,percu,percu,Nom,5,5
6065,tweet,tweets,Nom,5,5
6194,futur,futurs,Adjectif,5,5
6960,libre,libre,Adjectif,5,5
7606,bruit,bruit,Nom,5,5
8506,arret,arrete,Adjectif,5,5
11381,drole,droles,Nom,5,5
12648,forum,forum,Nom,5,5
14463,clair,clair,Adjectif,5,5
14565,bosse,bosse,Nom,5,5
15202,gaffe,gaffe,Nom,5,5
1167,expert,experts,Nom,6,5
1234,normal,normal,Adjectif,6,5
1374,notion,notion,Nom,6,5
1538,depute,depute,Nom,6,5
1569,enfant,enfants,Adjectif,6,5
1768,revoir,revoit,Verbe,6,5
1839,impact,impact,Adjectif,6,5
1849,format,formats,Nom,6,5
2097,offrir,offre,Verbe,6,5
2512,sortie,sortie,Nom,6,5
2563,esprit,esprit,Nom,6,5
2817,global,globale,Adjectif,6,5
2869,plaire,plaisent,Verbe,6,5
2949,monter,monter,Verbe,6,5
3380,visuel,visuelle,Adjectif,6,5
3511,ouvert,ouvert,Adjectif,6,5
3630,merite,merite,Nom,6,5
3724,avenir,avenir,Adverbe,6,5
3958,ouvrir,ouvre,Verbe,6,5
4121,partag,partage,Adjectif,6,5
4434,espace,espace,Nom,6,5
4967,ecoute,ecoute,Nom,6,5
5821,chaine,chaines,Nom,6,5
6636,congre,congres,Nom,6,5
7023,cibler,ciblait,Verbe,6,5
10492,soiree,soiree,Nom,6,5
12007,sonder,sonder,Verbe,6,5
12162,faible,faibles,Adjectif,6,5
12801,foutre,fout,Verbe,6,5
15278,amuser,amuser,Verbe,6,5
17805,essonn,essonne,Adjectif,6,5
18565,espece,especes,Nom,6,5
86,imposer,impose,Verbe,7,5
644,fournir,fourni,Verbe,7,5
1002,avancer,avance,Verbe,7,5
2115,reponse,reponse,Nom,7,5
2555,janvier,janvier,Nom,7,5
2833,culture,culture,Nom,7,5
3743,mauvais,mauvais,Adjectif,7,5
3745,opposer,oppose,Verbe,7,5
3818,attente,attentes,Nom,7,5
4057,militer,militer,Verbe,7,5
4250,federer,federer,Nom,7,5
4309,qualite,qualites,Nom,7,5
4923,partout,partout,Adverbe,7,5
4996,respect,respect,Nom,7,5
5817,article,articles,Nom,7,5
6306,memoire,memoire,Verbe,7,5
10404,acheter,acheter,Verbe,7,5
10652,laisser,laisser,Verbe,7,5
13168,dossier,dossier,Nom,7,5
473,rencontr,rencontre,Adjectif,8,5
2483,securite,securite,Nom,8,5
3247,familial,familiale,Adjectif,8,5
3550,analyser,analyser,Verbe,8,5
3949,exprimer,exprimer,Verbe,8,5
5734,complexe,complexes,Adjectif,8,5
6629,integrer,integrer,Verbe,8,5
7483,approche,approche,Nom,8,5
7998,anecdote,anecdote,Nom,8,5
8690,monsieur,madame,Nom,8,5
9242,deconner,deconner,Verbe,8,5
10935,soutenir,soutenu,Verbe,8,5
18719,informer,informait,Verbe,8,5
462,fortement,fortement,Adverbe,9,5
463,impliquer,implique,Verbe,9,5
566,collectif,collectif,Adjectif,9,5
1009,complique,compliquee,Adjectif,9,5
2314,quasiment,quasiment,Adverbe,9,5
2467,maitriser,maitriser,Verbe,9,5
2664,mandatair,mandataire,Adjectif,9,5
2970,categorie,categories,Nom,9,5
3197,connecter,connectes,Verbe,9,5
3268,constater,constate,Verbe,9,5
3414,developpe,developpe,Verbe,9,5
3757,apprendre,appris,Verbe,9,5
4490,assemblee,assemblee,Nom,9,5
5212,potentiel,potentiels,Adjectif,9,5
5253,interface,interface,Nom,9,5
5300,imprimeur,imprimeur,Nom,9,5
6145,qualifier,qualifies,Verbe,9,5
7057,descendre,descendre,Verbe,9,5
11761,ameliorer,ameliorer,Verbe,9,5
12713,exploiter,exploiter,Verbe,9,5
14325,predictif,predictifs,Adjectif,9,5
531,solliciter,solliciter,Verbe,10,5
1611,conference,conference,Nom,10,5
1801,strategiqu,strategique,Adjectif,10,5
1885,rassembler,rassemble,Verbe,10,5
2241,descendant,descendante,Adjectif,10,5
3099,expression,expression,Nom,10,5
4527,uniquement,uniquement,Adverbe,10,5
4842,conviction,conviction,Nom,10,5
6560,accueillir,accueillir,Verbe,10,5
7717,reactivite,reactivite,Nom,10,5
9291,concurrent,concurrent,Nom,10,5
23838,commercial,commercial,Adjectif,10,5
24853,ecologiste,ecologiste,Nom,10,5
13,positionner,positionne,Verbe,11,5
1709,restreindre,restreint,Adjectif,11,5
1935,preparation,preparation,Nom,11,5
4573,candidature,candidature,Nom,11,5
5764,utilisation,utilisation,Nom,11,5
6787,implication,implication,Nom,11,5
6864,typiquement,typiquement,Adverbe,11,5
12616,franchement,franchement,Adverbe,11,5
19083,contraindre,contraint,Verbe,11,5
1872,questionnair,questionnaire,Adjectif,12,5
2120,differemment,differemment,Adverbe,12,5
6767,concretement,concretement,Adverbe,12,5
13834,presentation,presentation,Nom,12,5
1159,developpement,developpement,Adverbe,13,5
6099,technologique,technologiques,Adjectif,13,5
1547,eventuellement,eventuellement,Adverbe,14,5
2416,investissement,investissement,Nom,14,5
225,pire,pire,Verbe,4,4
252,reel,reel,Adjectif,4,4
1296,pler,plait,Verbe,4,4
2941,main,mains,Nom,4,4
3132,vice,vice,Nom,4,4
3159,fake,fake,Nom,4,4
4035,club,clubs,Nom,4,4
4681,cafe,cafe,Nom,4,4
5049,vecu,vecu,Nom,4,4
7387,zone,zone,Nom,4,4
7817,bras,bras,Nom,4,4
10069,flou,floues,Adjectif,4,4
10098,bref,bref,Adverbe,4,4
10207,majo,majo,Adjectif,4,4
565,sport,sport,Nom,5,4
567,amene,amene,Verbe,5,4
2048,loyal,loyal,Adjectif,5,4
3121,crise,crise,Nom,5,4
3196,hyper,hyper,Adverbe,5,4
3573,usage,usage,Nom,5,4
4043,ecole,ecole,Nom,5,4
4123,colle,colle,Nom,5,4
6211,angle,angle,Nom,5,4
6871,lourd,lourdes,Adjectif,5,4
7107,grave,grave,Adjectif,5,4
7413,table,table,Nom,5,4
7435,radio,radio,Adjectif,5,4
7646,perte,pertes,Nom,5,4
7850,plume,plume,Adverbe,5,4
8044,cense,cense,Nom,5,4
8705,manqu,manque,Adjectif,5,4
8713,bilan,bilan,Nom,5,4
8786,marqu,marque,Adjectif,5,4
9547,equip,equipe,Adjectif,5,4
11102,ecolo,ecolo,Adjectif,5,4
12038,tombe,tombes,Nom,5,4
12189,baser,baser,Verbe,5,4
12207,focus,focus,Verbe,5,4
1378,amener,amener,Verbe,6,4
2667,divers,diverses,Adjectif,6,4
2716,animer,animer,Verbe,6,4
3106,couper,coupent,Verbe,6,4
3213,source,source,Nom,6,4
4548,valide,valide,Adjectif,6,4
4582,rythme,rythme,Nom,6,4
4638,slogan,slogan,Nom,6,4
5354,ecrire,ecrire,Verbe,6,4
5424,minuit,minuit,Nom,6,4
5515,garder,garder,Verbe,6,4
7025,urbain,urbains,Adjectif,6,4
7168,senior,senior,Adjectif,6,4
8722,conter,content,Verbe,6,4
9323,pardon,pardon,Nom,6,4
10005,vendre,vendu,Verbe,6,4
11223,fermer,fermer,Verbe,6,4
11539,casser,casser,Verbe,6,4
12256,brexit,brexit,Adjectif,6,4
12402,marrer,marrer,Verbe,6,4
14324,modele,modeles,Nom,6,4
15235,entier,entiere,Adjectif,6,4
18370,etaier,etaient,Verbe,6,4
19803,bureal,bureaux,Adjectif,6,4
21863,ethiqu,ethique,Adjectif,6,4
60,mesurer,mesurer,Verbe,7,4
634,adherer,adherant,Verbe,7,4
2534,cherche,cherche,Verbe,7,4
2770,compter,compter,Verbe,7,4
2814,poindre,point,Verbe,7,4
3090,critere,criteres,Nom,7,4
3345,passage,passages,Nom,7,4
3789,derrier,derriere,Adjectif,7,4
4028,grandir,grandi,Adjectif,7,4
4424,appuyer,appuie,Verbe,7,4
5327,gestion,gestion,Nom,7,4
6594,environ,environ,Adverbe,7,4
7254,million,millions,Nom,7,4
7372,emmerde,emmerdes,Nom,7,4
7444,boitage,boitage,Nom,7,4
7568,journal,journal,Nom,7,4
7908,externe,externe,Adjectif,7,4
8291,phoning,phoning,Verbe,7,4
8882,campagn,campagne,Adjectif,7,4
10379,manquer,manquait,Verbe,7,4
12128,positif,positif,Adjectif,7,4
12982,secteur,secteur,Nom,7,4
14200,concret,concrete,Adjectif,7,4
14568,vauzell,vauzelle,Adjectif,7,4
14668,repondu,repondu,Verbe,7,4
17661,tunisie,tunisie,Verbe,7,4
17777,couvrir,couvrait,Verbe,7,4
17934,prepare,prepare,Nom,7,4
564,parallel,parallele,Adjectif,8,4
956,derniere,dernieres,Adjectif,8,4
1640,proactif,proactif,Adjectif,8,4
1685,surement,surement,Adverbe,8,4
1759,autonome,autonome,Adjectif,8,4
2615,appareil,appareil,Adjectif,8,4
2906,confianc,confiance,Adjectif,8,4
3076,susciter,susciter,Verbe,8,4
3179,diffuser,diffuses,Verbe,8,4
3588,emission,emission,Nom,8,4
3762,efficace,efficace,Adjectif,8,4
4963,senateur,senateur,Nom,8,4
5005,decision,decision,Nom,8,4
6807,puissant,puissant,Adjectif,8,4
6924,immediat,immediats,Nom,8,4
7189,planning,planning,Verbe,8,4
7512,aleatoir,aleatoire,Adjectif,8,4
8025,pourtant,pourtant,Adverbe,8,4
8828,incarner,incarner,Verbe,8,4
8998,exercice,exercice,Nom,8,4
11290,emmanuel,emmanuel,Adjectif,8,4
11681,discuter,discutant,Verbe,8,4
14499,resoudre,resoudre,Verbe,8,4
14555,connerie,conneries,Nom,8,4
14678,marseill,marseille,Adjectif,8,4
15250,location,location,Nom,8,4
15282,depasser,depasser,Verbe,8,4
17664,tunisien,tunisienne,Adjectif,8,4
17711,contexte,contexte,Nom,8,4
21803,inscrire,inscrire,Verbe,8,4
795,economiqu,economique,Adjectif,9,4
1682,instagram,instagram,Verbe,9,4
2127,anticiper,anticipe,Verbe,9,4
2254,puissance,puissance,Nom,9,4
2272,seulement,seulement,Adverbe,9,4
4594,largement,largement,Adverbe,9,4
4603,reprendre,reprends,Verbe,9,4
5017,dynamique,dynamique,Nom,9,4
5050,entourage,entourage,Nom,9,4
5138,rattraper,rattraper,Verbe,9,4
5840,effectuer,effectuer,Verbe,9,4
7315,permanent,permanents,Adjectif,9,4
7827,orchestre,orchestre,Nom,9,4
10359,enveloppe,enveloppes,Nom,9,4
10403,condition,conditions,Nom,9,4
13382,necessite,necessite,Verbe,9,4
14092,vachement,vachement,Adverbe,9,4
15973,affichage,affichage,Nom,9,4
19515,interdire,interdit,Verbe,9,4
112,obligation,obligation,Nom,10,4
536,clairement,clairement,Adverbe,10,4
1239,appartenir,appartient,Verbe,10,4
2798,management,management,Adjectif,10,4
4260,represente,represente,Verbe,10,4
4610,symbolique,symbolique,Adjectif,10,4
4625,commercant,commercants,Adjectif,10,4
4666,permanence,permanence,Nom,10,4
4823,exactement,exactement,Adverbe,10,4
5010,discussion,discussion,Nom,10,4
5030,democratie,democratie,Verbe,10,4
8449,pleinement,pleinement,Adverbe,10,4
17573,longjumeau,longjumeau,Verbe,10,4
356,orientation,orientations,Nom,11,4
1209,financement,financements,Adjectif,11,4
1566,interaction,interactions,Nom,11,4
1875,statistique,statistiques,Adjectif,11,4
1928,recrutement,recrutement,Nom,11,4
3729,destination,destination,Nom,11,4
4152,institution,institution,Nom,11,4
6280,relationnel,relationnel,Nom,11,4
9075,reconnaitre,reconnaitre,Verbe,11,4
2597,hebdomadaire,hebdomadaire,Nom,12,4
12301,exploitation,exploitation,Nom,12,4
12624,gratuitement,gratuitement,Nom,12,4
797,environnement,environnement,Nom,13,4
2172,questionnaire,questionnaire,Nom,13,4
3992,conventionnel,conventionnel,Adjectif,13,4
6096,confrontation,confrontation,Nom,13,4
13968,preoccupation,preoccupations,Nom,13,4
319,principalement,principalement,Adverbe,14,4
3092,fonctionnement,fonctionnement,Nom,14,4
5183,extraordinaire,extraordinaire,Adjectif,14,4
8174,programmatique,programmatique,Adjectif,14,4
10297,financierement,financierement,Adverbe,14,4
1100,plan,plan,Nom,4,3
1765,veux,veux,Adjectif,4,3
1790,week,week,Nom,4,3
3209,vien,viens,Adjectif,4,3
3350,gare,gare,Nom,4,3
5419,midi,midi,Verbe,4,3
8363,deal,deal,Nom,4,3
8628,bord,bord,Adjectif,4,3
9876,amie,amie,Nom,4,3
10094,dame,dame,Nom,4,3
10761,live,live,Nom,4,3
11395,quel,quels,Adjectif,4,3
14840,nice,nice,Nom,4,3
15292,prix,prix,Nom,4,3
15882,note,note,Nom,4,3
16552,acce,acces,Adjectif,4,3
35,posee,posee,Verbe,5,3
188,ainsi,ainsi,Adverbe,5,3
260,tromp,trompe,Adjectif,5,3
1340,parer,parait,Verbe,5,3
1398,menee,menees,Nom,5,3
1884,theme,theme,Nom,5,3
1898,agglo,agglo,Adjectif,5,3
1998,cours,cours,Nom,5,3
2050,march,marche,Adjectif,5,3
2707,ecran,ecran,Nom,5,3
3492,fonds,fonds,Nom,5,3
4272,tirer,tirer,Verbe,5,3
5114,tissu,tissu,Nom,5,3
5415,celle,celles,Adjectif,5,3
5713,royal,royal,Adjectif,5,3
5912,rural,rural,Adjectif,5,3
6791,prise,prise,Nom,5,3
7163,alpha,alpha,Nom,5,3
7164,omega,omega,Adjectif,5,3
7266,jeudi,jeudis,Verbe,5,3
7446,vaste,vaste,Adjectif,5,3
7804,visio,visio,Verbe,5,3
7887,lundi,lundi,Nom,5,3
10001,score,score,Nom,5,3
10459,route,route,Nom,5,3
11473,verre,verre,Nom,5,3
12507,lepen,lepen,Adjectif,5,3
13017,untel,untel,Adverbe,5,3
14151,opter,opter,Verbe,5,3
14451,merci,merci,Nom,5,3
14958,armee,armee,Nom,5,3
15062,chope,chopes,Nom,5,3
15649,relai,relais,Adjectif,5,3
15727,doute,doute,Nom,5,3
16545,slack,slack,Verbe,5,3
16926,panel,panel,Nom,5,3
18046,volet,volet,Nom,5,3
18507,ville,villes,Nom,5,3
23485,quasi,quasi,Nom,5,3
160,entrer,entrer,Verbe,6,3
448,depart,depart,Adjectif,6,3
1353,guerre,guerre,Nom,6,3
1628,traver,travers,Adjectif,6,3
2116,unique,unique,Adjectif,6,3
2138,pensai,pensais,Nom,6,3
2762,avouer,avoue,Verbe,6,3
3148,profil,profils,Nom,6,3
3327,matier,matiere,Adjectif,6,3
4503,apport,apport,Adjectif,6,3
4676,pousse,pousse,Verbe,6,3
4895,combat,combat,Nom,6,3
4899,frappe,frappe,Nom,6,3
4927,reagir,reagir,Verbe,6,3
4972,classe,classe,Nom,6,3
5075,degage,degage,Nom,6,3
5121,lambda,lambda,Adjectif,6,3
5344,minute,minutes,Nom,6,3
5715,leader,leader,Nom,6,3
6310,manuel,manuel,Adjectif,6,3
6342,estime,estime,Verbe,6,3
6993,charte,chartes,Nom,6,3
7044,trafic,trafic,Nom,6,3
7675,adapte,adaptes,Adjectif,6,3
8403,avocat,avocat,Nom,6,3
8507,samedi,samedis,Nom,6,3
8638,maxime,maxime,Nom,6,3
8801,rigolo,rigolo,Verbe,6,3
8803,copain,copains,Nom,6,3
9176,disant,disant,Adjectif,6,3
9699,visage,visage,Nom,6,3
9846,avance,avance,Nom,6,3
10204,betise,betises,Nom,6,3
11093,marque,marque,Verbe,6,3
11513,retard,retard,Nom,6,3
11778,binome,binomes,Nom,6,3
12332,plante,plantes,Adjectif,6,3
12360,predir,predire,Adjectif,6,3
12528,import,importe,Adjectif,6,3
14121,faveur,faveur,Nom,6,3
14723,taille,taille,Nom,6,3
16067,myriam,myriam,Adjectif,6,3
16127,faisai,faisais,Nom,6,3
16347,maison,maison,Nom,6,3
17655,recent,recente,Adjectif,6,3
22108,volont,volonte,Adjectif,6,3
23875,quorum,quorum,Adjectif,6,3
24983,brique,briques,Nom,6,3
445,definir,definir,Verbe,7,3
865,decline,decline,Verbe,7,3
1226,federal,federal,Adjectif,7,3
1970,automne,automne,Verbe,7,3
2045,attache,attache,Verbe,7,3
2383,affaire,affaire,Nom,7,3
2521,annonce,annonce,Nom,7,3
2567,accroch,accroche,Adjectif,7,3
2849,tension,tensions,Nom,7,3
2858,heureux,heureux,Adjectif,7,3
2927,imagine,imagine,Nom,7,3
3098,liberte,liberte,Nom,7,3
3480,moindre,moindre,Adjectif,7,3
3657,ecouter,ecouter,Verbe,7,3
3673,dommage,dommage,Nom,7,3
4643,octobre,octobre,Nom,7,3
5175,partage,partage,Nom,7,3
6491,plupart,plupart,Adverbe,7,3
6540,enlever,enlever,Verbe,7,3
6910,section,sections,Nom,7,3
6987,couleur,couleurs,Nom,7,3
7866,bonjour,bonjour,Nom,7,3
7977,habitue,habitues,Adjectif,7,3
7993,content,contente,Adjectif,7,3
8036,echelle,echelle,Nom,7,3
8046,millier,milliers,Nom,7,3
9073,adresse,adresse,Nom,7,3
9403,estimer,estimer,Verbe,7,3
9475,bizarre,bizarre,Adjectif,7,3
9976,negocie,negocie,Verbe,7,3
11011,arrivee,arrivee,Verbe,7,3
11364,colonne,colonnes,Adjectif,7,3
12873,schwint,schwint,Verbe,7,3
13655,visible,visible,Adjectif,7,3
14992,arreter,arreter,Verbe,7,3
15820,activer,activer,Verbe,7,3
15923,energie,energie,Nom,7,3
18803,mailing,mailing,Nom,7,3
19359,tableur,tableurs,Nom,7,3
84,pandemie,pandemie,Nom,8,3
87,modifier,modifie,Verbe,8,3
607,reussite,reussite,Nom,8,3
704,designer,designer,Verbe,8,3
791,culturel,culturelles,Adjectif,8,3
1192,disposer,dispose,Verbe,8,3
1559,meilleur,meilleurs,Adjectif,8,3
1622,sequence,sequence,Nom,8,3
1896,generale,generales,Adjectif,8,3
1953,enrichir,enrichis,Verbe,8,3
2168,semestre,semestre,Nom,8,3
2177,pression,pression,Nom,8,3
2267,novembre,novembre,Nom,8,3
2319,synthese,synthese,Nom,8,3
2486,planoise,planoise,Nom,8,3
2976,traduire,traduisent,Verbe,8,3
3195,jeunesse,jeunesse,Nom,8,3
3359,novateur,novateur,Adjectif,8,3
3912,minorite,minorite,Nom,8,3
4934,proteger,proteger,Verbe,8,3
5545,reservir,reserve,Verbe,8,3
5709,inspirer,inspirer,Verbe,8,3
5939,parisien,parisien,Adjectif,8,3
6089,remarque,remarque,Verbe,8,3
6150,innovant,innovantes,Adjectif,8,3
6251,vehicule,vehicule,Nom,8,3
6399,heritier,heritiers,Nom,8,3
6487,maitrise,maitrise,Nom,8,3
6514,trancher,trancher,Verbe,8,3
6623,assister,assiste,Verbe,8,3
7145,emporter,emporter,Verbe,8,3
7359,bataille,bataille,Nom,8,3
7482,arracher,arrache,Verbe,8,3
7669,emmerder,emmerder,Verbe,8,3
7871,orienter,orienter,Verbe,8,3
10063,demander,demandait,Verbe,8,3
10807,habitude,habitude,Nom,8,3
11173,accepter,accepter,Verbe,8,3
12499,verifier,verifier,Verbe,8,3
12902,defaiter,defaites,Verbe,8,3
12956,conduire,conduire,Verbe,8,3
13955,collecte,collectes,Nom,8,3
14050,paulette,paulette,Nom,8,3
14622,raconter,raconte,Verbe,8,3
14922,contenir,contenus,Verbe,8,3
15146,quantite,quantite,Nom,8,3
16436,renvoyer,renvoyer,Verbe,8,3
17009,etonnant,etonnant,Adjectif,8,3
18119,maquette,maquettes,Nom,8,3
18879,rajouter,rajoute,Verbe,8,3
21305,purement,purement,Adverbe,8,3
22628,recevoir,recevoir,Verbe,8,3
183,guillemet,guillemets,Nom,9,3
729,adversair,adversaire,Adjectif,9,3
832,expertise,expertise,Nom,9,3
1711,animation,animation,Nom,9,3
1762,animateur,animateurs,Nom,9,3
1974,ecologist,ecologiste,Adjectif,9,3
2084,rejoindre,rejoint,Verbe,9,3
2090,appetence,appetence,Nom,9,3
3054,ouverture,ouverture,Nom,9,3
3142,education,education,Nom,9,3
3275,davantage,davantage,Adverbe,9,3
3338,operation,operation,Nom,9,3
3493,electorat,electorat,Nom,9,3
4835,evolution,evolution,Nom,9,3
5124,notoriete,notoriete,Nom,9,3
5428,telephone,telephone,Nom,9,3
5798,augmenter,augmenter,Verbe,9,3
6006,hautement,hautement,Adverbe,9,3
6340,maintenir,maintenu,Verbe,9,3
7683,casquette,casquette,Nom,9,3
7786,juridique,juridiques,Adjectif,9,3
7930,marketing,marketing,Adverbe,9,3
8184,chercheur,chercheurs,Adjectif,9,3
8463,consacrer,consacrer,Verbe,9,3
8547,consister,consiste,Verbe,9,3
9051,compagnie,compagnie,Nom,9,3
9411,precedent,precedent,Nom,9,3
9903,interieur,interieur,Nom,9,3
10466,reunisser,reunissait,Verbe,9,3
10828,restaurer,restaurant,Verbe,9,3
12262,bousculer,bousculer,Verbe,9,3
12912,approcher,approcher,Verbe,9,3
13254,clarifier,clarifier,Verbe,9,3
14132,dimension,dimension,Nom,9,3
14310,collectee,collectee,Verbe,9,3
14955,cartonner,cartonner,Verbe,9,3
15199,invalider,invalider,Verbe,9,3
16449,qualifiee,qualifiee,Adverbe,9,3
17064,ministere,ministere,Nom,9,3
17255,mitterand,mitterand,Adjectif,9,3
17853,caractere,caractere,Nom,9,3
19519,supprimer,supprimer,Verbe,9,3
19891,organisee,organisee,Verbe,9,3
7,occurrence,occurrence,Nom,10,3
147,abstention,abstention,Nom,10,3
169,desinteret,desinteret,Nom,10,3
1961,necessiter,necessitait,Verbe,10,3
2405,structurer,structurer,Verbe,10,3
3302,engouement,engouement,Nom,10,3
4091,universite,universite,Nom,10,3
4559,rapprochee,rapprochee,Nom,10,3
4790,reinventer,reinventer,Verbe,10,3
6298,sollicitee,sollicitee,Nom,10,3
6454,mitterrand,mitterrand,Adjectif,10,3
6876,equipement,equipements,Nom,10,3
7102,incroyable,incroyable,Adjectif,10,3
7503,reelection,reelection,Nom,10,3
7507,impossible,impossible,Adjectif,10,3
7696,confronter,confronte,Verbe,10,3
8724,changement,changement,Nom,10,3
11467,restaurant,restaurants,Adjectif,10,3
12252,referendum,referendum,Nom,10,3
14547,journalist,journaliste,Adjectif,10,3
16407,entretenir,entretenir,Verbe,10,3
17625,facilement,facilement,Adverbe,10,3
18085,structuree,structuree,Nom,10,3
18586,dispositif,dispositifs,Nom,10,3
20626,formaliser,formalise,Verbe,10,3
23246,indicateur,indicateurs,Nom,10,3
23728,consolider,consolider,Verbe,10,3
915,temporalite,temporalite,Nom,11,3
2165,investiture,investiture,Nom,11,3
2356,approfondir,approfondir,Verbe,11,3
3620,interpeller,interpeller,Verbe,11,3
5198,constructif,constructifs,Verbe,11,3
9243,sincerement,sincerement,Nom,11,3
9567,majoritaire,majoritaire,Adjectif,11,3
12033,pourcentage,pourcentage,Nom,11,3
12409,raisonnable,raisonnable,Adjectif,11,3
13398,elaboration,elaboration,Nom,11,3
23427,prioritaire,prioritaires,Adjectif,11,3
1408,transmission,transmission,Nom,12,3
2085,precedemment,precedemment,Adverbe,12,3
7893,operationnel,operationnels,Adjectif,12,3
672,participation,participation,Nom,13,3
1638,retransmettre,retransmettre,Verbe,13,3
2180,veritablement,veritablement,Adverbe,13,3
2899,politiquement,politiquement,Adverbe,13,3
3073,instantaneite,instantaneite,Nom,13,3
7405,planification,planification,Nom,13,3
14329,nationbuilder,nationbuilder,Verbe,13,3
23247,qualification,qualification,Verbe,13,3
1924,representation,representation,Nom,14,3
14056,positionnement,positionnement,Nom,14,3
1797,organisationnel,organisationnel,Adjectif,15,3
25096,conversationnel,conversationnel,Nom,15,3
18190,systematiquement,systematiquement,Adjectif,16,3
984,bois,bois,Nom,4,2
1517,gard,garde,Adjectif,4,2
2351,boss,bosse,Adjectif,4,2
3160,news,news,Nom,4,2
3332,taxi,taxi,Nom,4,2
4144,sieg,siege,Adjectif,4,2
4614,beal,beaux,Adjectif,4,2
4856,clou,clou,Nom,4,2
4896,boxe,boxe,Nom,4,2
4922,tire,tire,Verbe,4,2
5000,sien,sien,Adjectif,4,2
5325,pris,prise,Adjectif,4,2
6311,vall,valls,Adjectif,4,2
6358,echo,echo,Nom,4,2
6761,pied,pied,Nom,4,2
7110,buzz,buzz,Nom,4,2
7343,sant,sante,Adjectif,4,2
7453,cell,celle,Adjectif,4,2
8672,ardu,ardu,Adjectif,4,2
9108,vent,vents,Nom,4,2
9143,elan,elan,Adjectif,4,2
9431,cibl,cible,Adjectif,4,2
9581,voie,voies,Nom,4,2
10135,homm,homme,Adjectif,4,2
11137,poil,poil,Nom,4,2
11441,mort,mort,Adjectif,4,2
11677,oeil,yeux,Nom,4,2
12715,zero,zero,Nom,4,2
12833,mise,mise,Nom,4,2
14126,rare,rare,Adjectif,4,2
14561,meuf,meufs,Nom,4,2
14812,chop,chope,Adjectif,4,2
15497,crea,crea,Adjectif,4,2
15713,aill,aille,Adjectif,4,2
15756,clic,clic,Adjectif,4,2
16111,cler,cles,Verbe,4,2
16315,rire,rire,Nom,4,2
16621,play,play,Adjectif,4,2
16752,merd,merde,Adjectif,4,2
17121,film,films,Nom,4,2
17972,semi,semi,Adjectif,4,2
19457,piqu,pique,Adjectif,4,2
19533,lier,lie,Verbe,4,2
21172,bleu,bleus,Adjectif,4,2
21606,issu,issues,Adjectif,4,2
23320,cnil,cnil,Verbe,4,2
1695,ecrit,ecrits,Nom,5,2
1990,pause,pause,Nom,5,2
2536,agile,agile,Adjectif,5,2
2888,vague,vagues,Nom,5,2
2916,savai,savais,Adjectif,5,2
3299,fille,filles,Nom,5,2
3333,trail,trail,Nom,5,2
3341,ouest,ouest,Nom,5,2
3977,comte,comte,Nom,5,2
4558,garde,garde,Nom,5,2
4581,rythm,rythme,Adjectif,5,2
4809,enorm,enorme,Adjectif,5,2
4880,speed,speed,Nom,5,2
5358,peser,peser,Verbe,5,2
5360,faute,fautes,Nom,5,2
5578,lever,levez,Verbe,5,2
5922,perso,perso,Adverbe,5,2
6030,reell,reelle,Adjectif,5,2
6404,livre,livre,Nom,5,2
6412,jaure,jaures,Adjectif,5,2
6486,recul,recul,Nom,5,2
6669,siege,sieges,Nom,5,2
7188,retro,retro,Adjectif,5,2
7534,serie,serie,Nom,5,2
7659,appli,appli,Nom,5,2
7702,taper,taper,Verbe,5,2
7961,frein,frein,Adjectif,5,2
8253,canal,canal,Nom,5,2
8517,tenue,tenue,Nom,5,2
9855,blanc,blanche,Adjectif,5,2
10092,civil,civile,Adjectif,5,2
10670,shirt,shirts,Nom,5,2
10856,metre,metres,Nom,5,2
10873,louer,loue,Verbe,5,2
11047,jauge,jauges,Nom,5,2
11162,lycee,lycees,Nom,5,2
11267,scene,scene,Nom,5,2
11385,moite,moite,Nom,5,2
11472,boire,boire,Verbe,5,2
12115,etant,etant,Adjectif,5,2
12174,accer,acces,Verbe,5,2
12206,quali,quali,Nom,5,2
12385,juger,juger,Verbe,5,2
12766,cesar,cesar,Nom,5,2
13300,chang,change,Adjectif,5,2
14242,raler,raler,Verbe,5,2
14457,usine,usine,Nom,5,2
14462,mesur,mesure,Adjectif,5,2
14792,chien,chiens,Nom,5,2
14860,brand,brande,Adjectif,5,2
15279,hormi,hormis,Adjectif,5,2
15630,chaud,chaud,Adjectif,5,2
15896,bisou,bisou,Nom,5,2
