,Lemme,Forme_originale,Categorie,Longueur,Frequence
219,essentiel,essentiel,Adjectif,9,27
341,homme,hommes,Nom,5,26
1971,train,train,Adjectif,5,26
2008,reste,reste,Verbe,5,26
2070,forme,forme,Nom,5,26
1315,sentir,sentent,Verbe,6,26
1426,occuper,occupe,Verbe,7,26
1624,toucher,toucher,Verbe,7,26
1908,internet,internet,Nom,8,26
233,lien,lien,Nom,4,25
395,droite,droite,Nom,6,25
72,contact,contact,Nom,7,25
94,affiche,affiches,Nom,7,25
204,fonction,fonction,Nom,8,25
5946,comprendre,comprendre,Verbe,10,25
459,etai,etais,Adjectif,4,24
70,mieux,mieux,Adverbe,5,24
1165,aimer,aime,Verbe,5,24
2233,debut,debut,Nom,5,24
91,puisqu,puisqu,Adverbe,6,24
108,exister,existait,Verbe,7,24
308,maniere,maniere,Nom,7,24
1691,ensuite,ensuite,Adverbe,7,24
2056,message,message,Nom,7,24
5966,donneer,donnees,Verbe,7,24
410,compliqu,complique,Adjectif,8,24
6044,cantonal,cantonal,Adjectif,8,24
891,regionale,regionales,Adjectif,9,24
1606,media,medias,Nom,5,23
1934,phase,phase,Nom,5,23
2291,enjeu,enjeux,Nom,5,23
4330,voter,voter,Verbe,5,23
615,humain,humaine,Adjectif,6,23
1383,rendre,rendre,Verbe,6,23
2448,nombre,nombre,Nom,6,23
274,echange,echanges,Adjectif,7,23
8166,envoyer,envoyer,Verbe,7,23
483,partager,partager,Verbe,8,23
1482,pourquoi,pourquoi,Adverbe,8,23
2133,souvenir,souviens,Verbe,8,23
4466,mouvement,mouvement,Nom,9,23
2903,electorale,electorales,Adjectif,10,23
853,point,points,Nom,5,22
1072,jeune,jeunes,Adjectif,5,22
396,gauche,gauche,Adjectif,6,22
2582,dessus,dessus,Adverbe,6,22
1763,interet,interet,Nom,7,22
3207,capable,capables,Adjectif,7,22
710,deuxieme,deuxieme,Verbe,8,22
58,neanmoins,neanmoins,Adverbe,9,22
305,situation,situation,Nom,9,22
743,difficile,difficile,Adjectif,9,22
713,differente,differentes,Adjectif,10,22
1003,difficulte,difficultes,Nom,10,22
5831,page,page,Nom,4,21
1731,boucle,boucles,Nom,6,21
2893,simple,simple,Adjectif,6,21
6042,donnee,donnees,Nom,6,21
101,periode,periode,Nom,7,21
290,oublier,oublier,Verbe,7,21
1791,dernier,dernier,Adjectif,7,21
2399,nouveau,nouveau,Adjectif,7,21
598,habitant,habitants,Nom,8,21
184,personnel,personnel,Adjectif,9,21
56,vivre,vivre,Verbe,5,20
1940,juste,juste,Adjectif,5,20
3465,droit,droit,Adjectif,5,20
